//以下线路地址全部为网络公开数据，一切免费！如有冒犯请联系我们删除
『IPv6电视』,#genre#
APK制作练习,https://fel.forxhr.top:2022/view.php/8b3eea23e7bf605e907b2850b7a57815.mp4
公共资源整合,https://fel.forxhr.top:2022/view.php/8b3eea23e7bf605e907b2850b7a57815.mp4
一切免费！,https://fel.forxhr.top:2022/view.php/8b3eea23e7bf605e907b2850b7a57815.mp4
切勿购买！,https://fel.forxhr.top:2022/view.php/8b3eea23e7bf605e907b2850b7a57815.mp4
下载地址↓,https://fel.forxhr.top:2022/view.php/8b3eea23e7bf605e907b2850b7a57815.mp4
jkss.com,https://fel.forxhr.top:2022/view.php/8b3eea23e7bf605e907b2850b7a57815.mp4

IPv6央视,#genre#
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225588/index.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226021/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226007/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226019/index.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225603/index.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226010/index.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225733/index.m3u8
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225734/index.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225730/index.m3u8
CCTV11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225597/index.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225731/index.m3u8
